sapl_id,tipo,numero,ano,data,dist,escopo,janela,ementa,na_selecao,materia_sapl_id,materia_resumo,situacao,n_altera,n_alterada_por,n_revoga,n_revogada_por,n_suspende,n_regulamenta
331,Lei Complementar,198,1997,1997-12-29,1,SEM_SINAL,contexto,"INSTITUI E REGULAMENTA O FUNDO ESPECIAL DE DESENVOLVIMENTO DE RECURSOS HUMANOS-FDR, E DÁ OUTRAS PROVIDÊNCIAS.",False,,,revogada integral,0,0,0,1,0,0
304,Lei Complementar,171,1997,1997-05-28,1,SEM_SINAL,contexto,"ALTERA E ACRESCENTA DISPOSITIVOS  À LEI COMPLEMENTAR Nº 52, DE 20 DE DEZEMBRO DE 1991, ALTERADA PELA LEI COMPLEMENTAR Nº 152, DE 24 DE JUNHO DE 1996.",False,,,vigente (presumida),0,1,0,0,0,0
300,Lei Complementar,167,1996,1996-12-27,1,SEM_SINAL,contexto,"INSTITUI, NO ÂMBITO DA SECRETARIA DO ESTADO DA AGRICULTURA E REFORMA AGRÁRIA - O FUNDO EMERGENCIAL AGROPECUÁRIA DO ESTADO DE RONDÔNIA - FEARO,  E DÁ OUTRAS PROV",False,,,revogada integral,0,0,0,1,0,0
285,Lei Complementar,152,1996,1996-06-24,1,SEM_SINAL,contexto,"ALTERA E ACRESCENTA DISPOSITIVOS À LEI COMPLEMENTAR Nº 52, DE  20 DE DEZEMBRO DE 1991, E DÁ OUTRAS PROVIDÊNCIAS,",False,,,revogada integral,0,0,0,1,0,0
1070,Lei ordinária,547,1993,1993-12-30,1,ESCOPO,contexto,DISPÕE SOBRE A CRIAÇÃO DO SISTEMA ESTADUAL DE DESENVOLVIMENTO AMBIENTAL DE RONDÔNIA - SEDAR E SEUS INSTRUMENTOS ESTABELECEM MEDIDAS DE PROTEÇÃO E MELHORIA DA QU,False,,,revogada integral,0,0,1,1,0,0
1026,Lei ordinária,503,1993,1993-07-20,1,ESCOPO,contexto,"ALTERA AS ALÍQUOTAS DA TAXA FLORESTAL, INSTITUÍDAS NA TABELA I, DA LEI Nº 194, DE 28 DE DEZEMBRO DE 1987, ALTERADAS ATRAVÉS DA LEI Nº 451, DE 23 DE DEZEMBRO DE ",False,,,vigente (presumida),1,0,0,0,0,0
208,Lei Complementar,75,1993,1993-04-12,1,SEM_SINAL,contexto,CRIA O FUNDO DE PLANEJAMENTO E EXECUÇÃO DE ELETRIFICAÇÃO RURAL DO ESTADO DE RONDÔNIA.,False,,,revogada integral,0,0,0,1,0,0
974,Lei ordinária,451,1992,1992-12-23,1,ESCOPO,contexto,"DISPÕE SOBRE A ALTERAÇÃO ALÍQUOTAS DA TAXA FLORESTAL, CONSTANTES DA TABELA I DA LEI Nº 194, DE 28 DE DEZEMBRO DE 1987.",False,,,vigente (presumida),1,0,0,0,0,0
185,Lei Complementar,52,1991,1991-12-20,1,PROVAVEL,contexto,"DISPÕE SOBRE O ZONEAMENTO SÓCIO-ECONÔMICO-ECOLÓGICO DE RONDÔNIA, E DÁ OUTRAS PROVIDÊNCIAS.",False,,,revogada integral,0,0,0,1,0,0
785,Lei ordinária,262,1990,1990-01-11,1,SEM_SINAL,contexto,"DÁ NOVA REDAÇÃO A DISPOSITIVOS DA LEI Nº 88, DE 07 DE JANEIRO DE 1986.",False,,,vigente (presumida),1,0,0,0,0,0
728,Lei ordinária,205,1988,1988-07-04,1,ESCOPO,contexto,"DISPÕE SOBRE A REDUÇÃO DOS ALÍQUOTAS DA TAXA FLORESTAL INSTITUÍDA PELA LEI Nº 194, DE 28 DE DEZEMBRO DE 1987.",False,,,vigente (presumida),1,0,0,0,0,0
717,Lei ordinária,194,1987,1987-12-28,0,ESCOPO,contexto,"INSTITUI A COBRANÇA DA TAXA FLORESTAL PARA O ESTADO, E DÁ OUTRAS PROVIDÊNCIAS.",True,,,vigente (presumida),0,3,0,0,0,0
611,Lei ordinária,88,1986,1986-01-07,0,PROVAVEL,contexto,"DISPÕE SOBRE A CRIAÇÃO DO SISTEMA ESTADUAL DO MEIO AMBIENTE DE RONDÔNIA E SEUS INSTRUMENTOS, E DÁ OUTRAS PROVIDÊNCIAS.",True,,,revogada integral,0,1,0,1,0,0
