origem,fonte_sapl,fonte_tipo,fonte_num,fonte_ano,fonte_data,tipo_cod,tipo_sigla,relacao,alvo_kind,alvo_sapl,alvo_tipo,alvo_num,alvo_ano,alvo_data,sentido,fonte_na_selecao,alvo_na_selecao,fonte_escopo,fonte_janela,alvo_escopo,alvo_janela,fonte_pdf_url,alvo_pdf_url,fonte_texto_ok,alvo_texto_ok,normalizacao,revisar
registrado,7303,Lei ordinária,3686,2015,2015-12-08,,,originada de (PL),materia,9254,Matéria (PL),229,2015,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2015/7303/7303_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2015/9254/9254_texto_integral.pdf,False,False,,False
registrado,7422,Lei ordinária,3769,2016,2016-03-21,1,,Altera,norma,7303,Lei ordinária,3686,2015,2015-12-08,fonte→alvo,True,True,ESCOPO,analise,ESCOPO,analise,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2016/7422/7422_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2015/7303/7303_texto_integral.pdf,False,False,,False
registrado,7422,Lei ordinária,3769,2016,2016-03-21,,,originada de (PL),materia,9946,Matéria (PL),319,2016,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2016/7422/7422_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2016/9946/9946_texto_integral.pdf,False,False,,False
registrado,7580,Lei Complementar,892,2016,2016-07-04,1,,Altera,norma,366,Lei Complementar,233,2000,2000-06-06,fonte→alvo,True,True,ESCOPO,analise,ESCOPO,contexto,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2016/7580/7580_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2000/366/366_texto_integral.pdf,True,True,,False
registrado,7580,Lei Complementar,892,2016,2016-07-04,,,originada de (PL),materia,10816,Matéria (PL),101,2016,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2016/7580/7580_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2016/10816/10816_texto_integral.pdf,True,False,,False
registrado,7755,Lei ordinária,3945,2016,2016-12-12,,,originada de (PL),materia,12096,Matéria (PL),527,2016,,norma→matéria,False,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2016/7755/7755_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2016/12096/12096_texto_integral.pdf,True,False,,False
registrado,7758,Lei ordinária,3943,2016,2016-12-12,,,originada de (PL),materia,12098,Matéria (PL),528,2016,,norma→matéria,False,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2016/7758/7758_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2016/12098/12098_texto_integral.pdf,True,False,,False
registrado,7759,Lei ordinária,3941,2016,2016-12-12,1,,Altera,norma,7303,Lei ordinária,3686,2015,2015-12-08,fonte→alvo,False,True,ESCOPO,analise,ESCOPO,analise,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2016/7759/7759_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2015/7303/7303_texto_integral.pdf,False,False,,False
registrado,7759,Lei ordinária,3941,2016,2016-12-12,,,originada de (PL),materia,12092,Matéria (PL),522,2016,,norma→matéria,False,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2016/7759/7759_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2016/12092/12092_texto_integral.pdf,False,False,,False
registrado,7761,Lei Complementar,918,2016,2016-12-19,1,,Altera,norma,5479,Lei Complementar,633,2011,2011-09-13,fonte→alvo,True,False,SEM_SINAL,analise,ESCOPO,analise,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2016/7761/7761_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2011/5479/5479_texto_integral.pdf,True,True,,False
registrado,7761,Lei Complementar,918,2016,2016-12-19,,,originada de (PL),materia,11705,Matéria (PL),117,2016,,norma→matéria,True,,SEM_SINAL,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2016/7761/7761_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2016/11705/11705_texto_integral.pdf,True,False,,False
registrado,8053,Lei ordinária,4131,2017,2017-09-14,1,,Altera,norma,7303,Lei ordinária,3686,2015,2015-12-08,fonte→alvo,False,True,ESCOPO,analise,ESCOPO,analise,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2017/8053/8053_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2015/7303/7303_texto_integral.pdf,True,False,,False
registrado,8053,Lei ordinária,4131,2017,2017-09-14,,,originada de (PL),materia,13119,Matéria (PL),677,2017,,norma→matéria,False,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2017/8053/8053_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2017/13119/13119_texto_integral.pdf,True,False,,False
registrado,8092,Emenda Constitucional,125,2017,2017-10-11,,,originada de (PL),materia,13168,Matéria (PL),36,2017,,norma→matéria,True,,PROVAVEL,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2017/8092/8092_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2017/13168/13168_texto_integral.pdf,True,False,,False
registrado,8293,Lei ordinária,4222,2017,2017-12-18,,,originada de (PL),materia,14418,Matéria (PL),820,2017,,norma→matéria,False,,PROVAVEL,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2017/8293/8293_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2017/14418/14418_texto_integral.pdf,True,False,,False
registrado,8225,Lei Complementar,965,2017,2017-12-20,,,originada de (PL),materia,14383,Matéria (PL),182,2017,,norma→matéria,False,,SEM_SINAL,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2017/8225/8225_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2017/14383/14383_texto_integral.pdf,False,False,,False
registrado,8238,Lei ordinária,4228,2017,2017-12-21,,,originada de (PL),materia,14127,Matéria (PL),791,2017,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2017/8238/8238_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2017/14127/14127_texto_integral.pdf,True,False,,False
registrado,8373,Lei ordinária,4283,2018,2018-05-16,1,,Altera,norma,8053,Lei ordinária,4131,2017,2017-09-14,fonte→alvo,True,False,ESCOPO,analise,ESCOPO,analise,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2018/8373/8373_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2017/8053/8053_texto_integral.pdf,True,True,,False
inferido,8373,Lei ordinária,4283,2018,2018-05-16,,,modifica (INFERIDO: verbo 'acrescenta'),norma,7303,Lei ordinária,3686,2015,2015-12-08,fonte→alvo,True,True,ESCOPO,analise,ESCOPO,analise,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2018/8373/8373_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2015/7303/7303_texto_integral.pdf,True,False,citação na ementa; vínculo NÃO registrado no SAPL,False
registrado,8373,Lei ordinária,4283,2018,2018-05-16,,,originada de (PL),materia,15583,Matéria (PL),936,2018,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2018/8373/8373_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2018/15583/15583_texto_integral.pdf,True,False,,False
registrado,8780,Lei Complementar,1008,2018,2018-12-21,,,originada de (PL),materia,16560,Matéria (PL),260,2018,,norma→matéria,False,,SEM_SINAL,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2018/8780/lc1008.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2018/16560/plc_260.pdf,True,False,,False
inferido,9000,Lei ordinária,4564,2019,2019-08-23,,,modifica (INFERIDO: verbo 'acrescenta'),norma,7303,Lei ordinária,3686,2015,2015-12-08,fonte→alvo,False,True,ESCOPO,analise,ESCOPO,analise,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2019/9000/l_4564.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2015/7303/7303_texto_integral.pdf,True,False,citação na ementa; vínculo NÃO registrado no SAPL,False
registrado,9000,Lei ordinária,4564,2019,2019-08-23,,,originada de (PL),materia,16924,Matéria (PL),19,2019,,norma→matéria,False,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2019/9000/l_4564.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2019/16924/pl._019-19.pdf,True,False,,False
registrado,9073,Lei ordinária,4589,2019,2019-09-18,1,,Altera,norma,8293,Lei ordinária,4222,2017,2017-12-18,fonte→alvo,True,False,PROVAVEL,analise,PROVAVEL,analise,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2019/9073/l_4589.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2017/8293/8293_texto_integral.pdf,True,True,,False
