origem,fonte_sapl,fonte_tipo,fonte_num,fonte_ano,fonte_data,tipo_cod,tipo_sigla,relacao,alvo_kind,alvo_sapl,alvo_tipo,alvo_num,alvo_ano,alvo_data,sentido,fonte_na_selecao,alvo_na_selecao,fonte_escopo,fonte_janela,alvo_escopo,alvo_janela,fonte_pdf_url,alvo_pdf_url,fonte_texto_ok,alvo_texto_ok,normalizacao,revisar
registrado,6149,Lei ordinária,2967,2013,2013-03-05,,,originada de (PL),materia,4075,Matéria (PL),572,2012,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2013/6149/6149_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2012/4075/4075_texto_integral.pdf,True,False,,False
registrado,6181,Lei ordinária,2996,2013,2013-03-15,,,originada de (PL),materia,3754,Matéria (PL),477,2012,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2013/6181/6181_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2012/3754/3754_texto_integral.pdf,True,False,,False
registrado,6285,Lei ordinária,3079,2013,2013-06-04,1,,Altera,norma,6181,Lei ordinária,2996,2013,2013-03-15,fonte→alvo,False,True,SEM_SINAL,analise,ESCOPO,analise,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2013/6285/6285_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2013/6181/6181_texto_integral.pdf,True,True,,False
registrado,6285,Lei ordinária,3079,2013,2013-06-04,,,originada de (PL),materia,5006,Matéria (PL),857,2013,,norma→matéria,False,,SEM_SINAL,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2013/6285/6285_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2013/5006/5006_texto_integral.pdf,True,False,,False
registrado,6451,Lei ordinária,3210,2013,2013-10-03,,,originada de (PL),materia,5047,Matéria (PL),882,2013,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2013/6451/6451_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2013/5047/5047_texto_integral.pdf,True,False,,False
registrado,6480,Lei Complementar,733,2013,2013-10-10,,,originada de (PL),materia,5606,Matéria (PL),144,2013,,norma→matéria,False,,SEM_SINAL,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2013/6480/6480_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2013/5606/5606_texto_integral.pdf,False,False,,False
registrado,6481,Lei ordinária,3213,2013,2013-10-10,,,originada de (PL),materia,5341,Matéria (PL),947,2013,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2013/6481/6481_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2013/5341/5341_texto_integral.pdf,True,False,,False
registrado,6545,Lei ordinária,3258,2013,2013-11-25,,,originada de (PL),materia,5024,Matéria (PL),872,2013,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2013/6545/6545_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2013/5024/5024_texto_integral.pdf,True,False,,False
registrado,6639,Lei Complementar,762,2014,2014-02-27,,,originada de (PL),materia,6100,Matéria (PL),185,2014,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2014/6639/6639_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2014/6100/6100_texto_integral.pdf,True,False,,False
registrado,6640,Lei ordinária,3317,2014,2014-02-27,,,originada de (PL),materia,6101,Matéria (PL),1193,2014,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2014/6640/6640_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2014/6101/6101_texto_integral.pdf,True,False,,False
registrado,6689,Lei Complementar,770,2014,2014-04-07,3,,Revoga parcialmente,norma,5479,Lei Complementar,633,2011,2011-09-13,fonte→alvo,False,True,SEM_SINAL,analise,ESCOPO,analise,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2014/6689/6689_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2011/5479/5479_texto_integral.pdf,True,True,,False
registrado,6689,Lei Complementar,770,2014,2014-04-07,,,originada de (PL),materia,6131,Matéria (PL),186,2014,,norma→matéria,False,,SEM_SINAL,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2014/6689/6689_texto_integral.pdf,,True,False,,False
registrado,6870,Lei ordinária,3437,2014,2014-09-09,2,,Revoga integralmente,norma,3887,Lei ordinária,1861,2008,2008-01-10,fonte→alvo,True,False,ESCOPO,analise,SEM_SINAL,contexto,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2014/6870/6870_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2008/3887/3887_texto_integral.pdf,True,True,,False
registrado,6870,Lei ordinária,3437,2014,2014-09-09,1,,Altera,norma,5452,Lei ordinária,2555,2011,2011-09-15,fonte→alvo,True,False,ESCOPO,analise,SEM_SINAL,analise,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2014/6870/6870_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2011/5452/5452_texto_integral.pdf,True,True,,False
registrado,6870,Lei ordinária,3437,2014,2014-09-09,2,,Revoga integralmente,norma,5452,Lei ordinária,2555,2011,2011-09-15,fonte→alvo,True,False,ESCOPO,analise,SEM_SINAL,analise,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2014/6870/6870_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2011/5452/5452_texto_integral.pdf,True,True,,False
registrado,6870,Lei ordinária,3437,2014,2014-09-09,,,originada de (PL),materia,6494,Matéria (PL),1270,2014,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2014/6870/6870_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2014/6494/6494_texto_integral.pdf,True,False,,False
registrado,6903,Lei ordinária,3452,2014,2014-11-04,2,,Revoga integralmente,norma,5387,Lei ordinária,2531,2011,2011-07-25,fonte→alvo,False,True,SEM_SINAL,analise,ESCOPO,analise,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2014/6903/6903_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2011/5387/5387_texto_integral.pdf,True,True,,False
registrado,6903,Lei ordinária,3452,2014,2014-11-04,,,originada de (PL),materia,6787,Matéria (PL),1343,2014,,norma→matéria,False,,SEM_SINAL,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2014/6903/6903_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2014/6787/6787_texto_integral.pdf,True,False,,False
registrado,7092,Lei Complementar,823,2015,2015-06-03,6,,Ressalva,norma,6480,Lei Complementar,733,2013,2013-10-10,fonte→alvo,True,False,ESCOPO,analise,SEM_SINAL,analise,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2015/7092/7092_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2013/6480/6480_texto_integral.pdf,True,False,,False
registrado,7092,Lei Complementar,823,2015,2015-06-03,,,originada de (PL),materia,7156,Matéria (PL),4,2015,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2015/7092/7092_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2015/7156/7156_texto_integral.pdf,True,False,,False
registrado,7137,Lei ordinária,3591,2015,2015-07-15,,,originada de (PL),materia,7143,Matéria (PL),5,2015,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2015/7137/7137_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2015/7143/7143_texto_integral.pdf,True,False,,False
registrado,7145,Lei Complementar,827,2015,2015-07-15,,,originada de (PL),materia,7970,Matéria (PL),21,2015,,norma→matéria,False,,SEM_SINAL,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2015/7145/7145_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2015/7970/7970_texto_integral.pdf,False,False,,False
registrado,7173,Lei ordinária,3612,2015,2015-09-15,,,originada de (PL),materia,7570,Matéria (PL),80,2015,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2015/7173/7173_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2015/7570/7570_texto_integral.pdf,True,False,,False
inferido,7202,Decreto Legislativo,602,2015,2015-09-30,,,modifica (INFERIDO: verbo 'suspende'),norma,5424,Lei ordinária,2541,2011,2011-08-16,fonte→alvo,False,True,SEM_SINAL,analise,ESCOPO,analise,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2015/7202/7202_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2011/5424/5424_texto_integral.pdf,True,True,citação na ementa; vínculo NÃO registrado no SAPL,False
registrado,7202,Decreto Legislativo,602,2015,2015-09-30,,,originada de (PL),materia,8413,Matéria (PL),24,2015,,norma→matéria,False,,SEM_SINAL,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2015/7202/7202_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2015/8413/8413_texto_integral.pdf,True,False,,False
registrado,7234,Lei ordinária,3646,2015,2015-10-26,,,originada de (PL),materia,8052,Matéria (PL),137,2015,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2015/7234/7234_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2015/8052/8052_texto_integral.pdf,True,False,,False
registrado,7250,Lei ordinária,3655,2015,2015-11-09,,,originada de (PL),materia,7837,Matéria (PL),115,2015,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2015/7250/7250_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2015/7837/7837_texto_integral.pdf,True,False,,False
registrado,7252,Lei ordinária,3653,2015,2015-11-09,,,originada de (PL),materia,8129,Matéria (PL),150,2015,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2015/7252/7252_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2015/8129/8129_texto_integral.pdf,True,False,,False
registrado,7283,Lei ordinária,3672,2015,2015-11-27,1,,Altera,norma,7252,Lei ordinária,3653,2015,2015-11-09,fonte→alvo,False,True,SEM_SINAL,analise,ESCOPO,analise,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2015/7283/7283_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2015/7252/7252_texto_integral.pdf,True,True,,False
registrado,7283,Lei ordinária,3672,2015,2015-11-27,,,originada de (PL),materia,9236,Matéria (PL),218,2015,,norma→matéria,False,,SEM_SINAL,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2015/7283/7283_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2015/9236/9236_texto_integral.pdf,True,False,,False
registrado,7291,Lei ordinária,3679,2015,2015-11-30,,,originada de (PL),materia,7958,Matéria (PL),130,2015,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2015/7291/7291_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2015/7958/7958_texto_integral.pdf,True,False,,False
registrado,7303,Lei ordinária,3686,2015,2015-12-08,,,originada de (PL),materia,9254,Matéria (PL),229,2015,,norma→matéria,True,,ESCOPO,analise,,,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2015/7303/7303_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/materialegislativa/2015/9254/9254_texto_integral.pdf,False,False,,False
registrado,7422,Lei ordinária,3769,2016,2016-03-21,1,,Altera,norma,7303,Lei ordinária,3686,2015,2015-12-08,fonte→alvo,True,True,ESCOPO,analise,ESCOPO,analise,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2016/7422/7422_texto_integral.pdf,http://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2015/7303/7303_texto_integral.pdf,False,False,,False
